情報入手元　http://www.city.ito.shizuoka.jp/kankou/html/event/hpg000001916.html　もしくは　http://itospa.com/event/,,,,,,,,
イベント名,開催年,開催日,開催時間,開催場所,問い合わせ先,問い合わせ先電話番号,備考,写真
伊東駅前「湯どころいとうの朝市」,,毎週日曜日,7：30～12：00,伊東駅前大型バス専用駐車場（セブンイレブン前）,大多和,090-8470－8998,※小雨決行,asaichi160508-3.jpg
さくらの里ライトアップ,平成29年,３月２５日（土）～４月９日（日）,18：00～21：00,さくらの里,伊東市役所観光課,0557-32-1713,※桜の開花状況により実施期間を変更する場合あり。,sakuranosatolightup.JPG
フジサンケイレディスクラシック,平成29年,４月２１日（金）～４月２３日（日）,,川奈ホテルゴルフコース　富士コース,フジサンケイレディスクラシック事務局,03-5500-8253,,
第46回?小室山公園つつじ祭り,平成29年,４月２９日（土）～５月５日（金）,9：00～16：00,小室山公園,小室山レストハウス,0557-45-1444,絨毯の様に咲き誇るつつじ,hakkei_mt.komuro.jpg
小室山公園つつじ園ライトアップ,平成29年,4月22(土)～5月5日(金),19：00～21：00,小室山公園,小室山レストハウス,0557-45-1444,昼とは違った幻想的な空間,DSC_0184.JPG
地引網体験?,平成29年,5月・6月　日曜日,6：45～7：15,伊東オレンジビーチ,伊東市観光課,0557-366-0111,6:30集合,
伊東祐親まつり（水上薪能など）,平成29年,５月２０日（土）～５月２１日（日）,,松川水上特設舞台　松川藤の広場,NPO法人　伊東市文化財史蹟保存会,0557-36-7726,,
松川せせらぎの夕べ,平成29年,５月２２日（月）～５月２８日（日）,,松川水上特設舞台,伊東市観光課,0557-366-0111,,
春の森の露天市,平成29年,６月２日（金）～６月４日（日）,9：00～16：00,伊東市青少年キャンプ場,伊東市観光課,0557-366-0111,,
三浦－伊東ヨットレース?,平成29年,６月３日（土）～６月４日（日）,9：30～17：00,三浦～伊東沖,伊東市観光課,0557-366-0111,,
ほたる観賞会　,平成29年,６月３日（土）～６月１１日（日）,19：30～21：00,松川湖　丸山公園　展望広場,伊東市観光課,0557-366-0111,※おすすめの時間は午後7時45分～午後8時45分です。,hotaru1.jpg
伊東市制施行70周年記念事業?　出張！なんでも鑑定団in伊東温泉,平成29年,６月４日（日）,"開場12:00～
開演13:00～",伊東市観光会館ホール,伊東市観光課,0557-366-0111,※観覧については事前申し込みが必要となります。,
伊東温泉ナイス温！ゴルフフェスティバル,平成29年,7月１日（土）～１１月３０日（木）,,川奈ホテルゴルフコース・伊東カントリークラブ・ゴールド川奈カントリークラブ・サザンクロスカントリークラブ・天城高原ゴルフコース,伊東観光協会,0557-37-6105,,
第62回松川タライ乗り競走,平成29年,７月２日（日）,9：30～12：30,松川（いでゆ橋～松川藤の広場横）,伊東観光協会,0557-37-6105,※当日の飛入参加の受付はいたしません。伊東観光協会ホームページよりお申し込みください。 ,tarainori01.jpg
夕涼みわくわく市,平成29年,"７月３０日（日）～７月３１日（月）
８月２日（水）～８月６日（日）
８月１４日（月）～８月２０日（日）
８月２２日（火）、８月２６日（土）",17:30～21:00,松川藤の広場,伊東市観光課,0557-366-0111,,
伊東温泉『夢花火』Part1,平成29年,７月３０日（日）,20：30～21：00,伊東海岸,伊東観光協会,0557-37-6105,,yumehanabi.JPG
伊東温泉『夢花火』Part2,平成29年,７月３１日（月）,20：30～21：00,伊東海岸,伊東観光協会,0557-37-6105,,yumehanabi.JPG
宇佐美夏まつり,平成29年,８月１日（火）～８月２日（水）,,宇佐美駅～宇佐美海岸 ,宇佐美コミセン,0557-47-3399,,
宇佐美花火大会,平成29年,８月１日（火）,20：00～20：30,宇佐美海岸,宇佐美コミセン,0557-47-3399,,
伊東温泉『夢花火』Part3,平成29年,8月2日（水）,20：30～21：00,伊東海岸,伊東観光協会,0557-37-6105,,yumehanabi.JPG
伊東温泉『夢花火』Part4,平成29年,8月3日（木）,20：30～21：00,伊東海岸,伊東観光協会,0557-37-6105,,yumehanabi.JPG
伊東温泉『夢花火』Part5,平成29年,8月4日（金）,20：30～20：50,伊東海岸,伊東観光協会,0557-37-6105,,yumehanabi.JPG
第71回按針祭　按針メモリアルパーク水辺de癒されまSHOW!!,平成29年,８月５日（土）～８月６日（日）,"5日　16:00～20:30
6日　16:10～20:30",按針メモリアルパークステージ ,伊東市観光課,0557-366-0111,,
第71回按針祭　按針パレード,平成29年,8月4日（金）,16：30～18：30,"国道135号伊東バイパス
スタート：市営海浜プール付近
ゴール：なぎさ公園付近",伊東市観光課,0557-366-0111,,
松川～海上灯籠流し,平成29年,８月８日（火）,19：30～,松川,伊東観光協会,0557-37-6105,,tourou1.JPG
松川～灯籠の流れ 打上花火,平成29年,８月８日（火）,20：50～21：00,伊東海岸,伊東観光協会,0557-37-6105,,
第40回太鼓合戦,平成29年,８月９日（水）,18：00～21：00,なぎさ公園,伊東観光協会,0557-37-6105,,taikogassenn2.JPG
太鼓の響き 打上花火,平成29年,８月９日（水）,20：50～21：00,伊東海岸,伊東観光協会,0557-37-6105,,
第71回按針祭　式典・海の花火大会,平成29年,８月１０日（木）,12：30～21：00,観光会館ホール・伊東海岸,伊東観光協会,0557-37-6105,"伊東市夏の最大イベント。花火は20：00～、約10,000発",anjinsaihanabi.jpg
按針コンサート,平成29年,８月１１日（金）,13:00～15:30,伊東市観光会館,伊東市観光課,0557-366-0111,,
やんもの里花火大会,平成29年,８月１４日（月）,20：00～20：30,八幡野海岸,伊東市観光課,0557-366-0111,"約2,000発",
川奈港いるか浜花火大会,平成29年,８月１５日（火）,20：00～20：30,いるか浜公園,伊東市観光課,0557-366-0111,約800発,
伊東温泉『夢花火』Part6,平成29年,8月16日（水）,20：30～20：50,伊東海岸,伊東観光協会,0557-37-6105,約1000発,yumehanabi.JPG
伊東温泉『夢花火』Part7,平成29年,8月17日（水）,20：30～20：50,伊東海岸,伊東観光協会,0557-37-6105,約1000発,yumehanabi.JPG
伊東温泉『夢花火』Part8,平成29年,8月18日（水）,20：30～20：50,伊東海岸,伊東観光協会,0557-37-6105,約1000発,yumehanabi.JPG
