№,緯度,経度,ジャンル１,サブジャンル１,ジャンル２,サブジャンル２,ジャンル３,サブジャンル３,名称,概略,郵便番号,住所,電話番号,FAX番号,E-mail,開館時間,休館日,料金,備考,リンク,
1,34.942582,139.123884,観光,庭園・公園,,,,,小室山公園,標高３２１ｍの山全体が公園となっており、園内にはつばき園やつつじ園のほか、テニスコートや運動場もあり、山の中腹には恐竜のモニュメントや複合遊具などが設置されています。,414-0044,伊東市川奈1260-1,0557-45-1594,,,常時開放,なし,無料,,http://itospa.com/nature_park/np_komuroyama/,
2,34.90728,139.090817,観光,庭園・公園,,,,,さくらの里,大室山の山すそにあり、園内には40種1500本の桜が植栽されています。９月から翌５月までの約８か月間にわたり桜を楽しむことができます。,413-0231,伊東市富戸1317-4,,,,常時開放,なし,無料,,http://itospa.com/nature_park/np_sakuranosato/,
3,34.929539,139.106345,観光,その他,,,,,一碧湖,伊豆の瞳とも呼ばれる周囲4ｋｍのひょうたん型の湖で、桜や紅葉など四季の移り変わりを楽しむことができます。,414-0051,伊東市吉田815-360,,,,常時開放,なし,無料,,http://itospa.com/nature_park/np_ipekiko/,
4,34.935423,139.064981,観光,その他,,,,,松川湖,奥野ダムによって生まれた湖で、周辺には公園があるほか１周４．８ｋｍの周遊道が整備され自然を楽しみながら散策することができます。,414-0054,伊東市鎌田1296-205,,,,常時開放,なし,無料,,https://www.google.co.jp/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiTxPqsgLPVAhWEu7wKHTG0B1gQFggmMAA&url=http%3A%2F%2Fitospa.com%2Fnature_park%2Fnp_matukawako%2F&usg=AFQjCNHGOiKt-G7SgDOsIHD6-iR7gcUYWg,
5,34.975737,139.096483,観光,その他,,,,,伊東オレンジビーチ,海岸遊歩道が整備されフェニックスの揺れる南国ムードが漂う海水浴場です。駅からも宿泊施設からも近いのが売りです。,414-0002,伊東市湯川、,,,,遊泳時間9:00～17:00,7月中旬から8月下旬,無料,,https://www.google.co.jp/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjO2cW4gLPVAhWIu7wKHXuUBVsQFggnMAA&url=http%3A%2F%2Fitospa.com%2Fleisure_sports%2Fitospa-sea%2F%25E4%25BC%258A%25E6%259D%25B1%25E3%2582%25AA%25E3%2583%25AC%25E3%2583%25B3%25E3%2582%25B8%25E3%2583%2593%25E3%2583%25BC%25E3%2583%2581%2F&usg=AFQjCNG8RpQqjYQBzuBGpL2NNppJUxxadA,
6,35.004066,139.083603,観光,その他,,,,,宇佐美海水浴場,遠浅の広々とした海水浴場で、サーフィンやボディーボードも盛んです。,414-0001,伊東市宇佐美,,,,遊泳時間9:00～17:01,7月中旬から9月下旬,無料,,http://itospa.com/leisure_sports/itospa-sea/%E5%AE%87%E4%BD%90%E7%BE%8E%E6%B5%B7%E6%B0%B4%E6%B5%B4%E5%A0%B4/,
7,34.954213,139.130876,観光,その他,,,,,川奈海水浴場,透きとおる海と玉石の海辺と波の静かな海水浴場です。,414-0044,伊東市川奈,,,,遊泳時間9:00～17:02,7月中旬から10月下旬,無料,,http://itospa.com/leisure_sports/itospa-sea/%E5%B7%9D%E5%A5%88%E6%B5%B7%E6%B0%B4%E6%B5%B4%E5%A0%B4/,
8,34.953074,139.132071,観光,庭園・公園,,,,,川奈いるか浜公園,玉砂利でできたビーチなので、砂で汚れる心配がなく、小さいお子様にも適した海水浴場です。,414-0044,伊東市川奈,,,,遊泳時間9:00～17:03,7月中旬から11月下旬,無料,,http://itospa.com/leisure_sports/itospa-sea/%e5%b7%9d%e5%a5%88%e3%81%84%e3%82%8b%e3%81%8b%e6%b5%9c%e5%85%ac%e5%9c%92/,
9,34.89053,139.138742,観光,その他,,,,,門脇つり橋,門脇岬にある海蝕洞にかかる城ヶ崎を代表する長さ４８ｍ、高さ２３ｍの海のつり橋です。,413-0231,伊東市富戸,,,,常時開放,なし,無料,,https://www.google.co.jp/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=0ahUKEwjCt7jigLPVAhUHvLwKHaabDZMQFghFMAI&url=http%3A%2F%2Fitospa.com%2Fnature_park%2Fnp_zyogasaki%2F&usg=AFQjCNEK-Qk8nWrptJ789I9_804XcXibSw,
10,34.889945,139.138573,観光,その他,,,,,門脇灯台,高さ２４．９ｍの展望台付の灯台で、晴れた日には遠く離れた伊豆七島や天城連山の峰々を望むことができます。,413-0231,伊東市富戸,,,,9：00～17：00(冬季は16：00まで）,なし,無料,,https://www.google.co.jp/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=0ahUKEwjCt7jigLPVAhUHvLwKHaabDZMQFghFMAI&url=http%3A%2F%2Fitospa.com%2Fnature_park%2Fnp_zyogasaki%2F&usg=AFQjCNEK-Qk8nWrptJ789I9_804XcXibSw,
